"gene_id"	"hgnc_symbol"	"chromosome_name"	"start_position"	"end_position"	"strand"	"entrezgene_id"
"ENSG00000180777"	"ANKRD30B"	"18"	14728271	14852737	"+"	374860
"ENSG00000101144"	"BMP7"	"20"	55743804	55841685	"-"	655
"ENSG00000215474"	"SKOR2"	"18"	44746293	44775554	"-"	652991
"ENSG00000258713"	"C20orf141"	"20"	2795633	2796479	"+"	128653
"ENSG00000261230"	"CPSF1"	"HG243_PATCH"	145448132	145464191	"-"	102466749
"ENSG00000261230"	"CPSF1"	"HG243_PATCH"	145448132	145464191	"-"	100302196
"ENSG00000261230"	"CPSF1"	"HG243_PATCH"	145448132	145464191	"-"	100126351
"ENSG00000261230"	"CPSF1"	"HG243_PATCH"	145448132	145464191	"-"	29894
"ENSG00000188394"	"GPR21"	"9"	125796806	125797975	"+"	2844
"ENSG00000172785"	"CBWD1"	"9"	121041	188979	"-"	644019
"ENSG00000172785"	"CBWD1"	"9"	121041	188979	"-"	445571
"ENSG00000172785"	"CBWD1"	"9"	121041	188979	"-"	220869
"ENSG00000172785"	"CBWD1"	"9"	121041	188979	"-"	150472
"ENSG00000172785"	"CBWD1"	"9"	121041	188979	"-"	55871
"ENSG00000132635"	"PCED1A"	"20"	2815960	2821836	"-"	64773
"ENSG00000175387"	"SMAD2"	"18"	45357922	45457515	"-"	4087
"ENSG00000104043"	"ATP8B4"	"15"	50150435	50475014	"-"	79895
"ENSG00000165209"	"STRBP"	"9"	125871779	126030855	"-"	55342
"ENSG00000261297"	"SLC39A4"	"HG243_PATCH"	145464645	145471798	"-"	55630
"ENSG00000182511"	"FES"	"15"	91426925	91439006	"+"	2242
"ENSG00000170113"	"NIPA1"	"15"	23043277	23100005	"-"	123606
"ENSG00000054796"	"SPO11"	"20"	55904815	55919050	"+"	23626
"ENSG00000074410"	"CA12"	"15"	63613577	63674360	"-"	771
"ENSG00000087495"	"PHACTR3"	"20"	58152564	58422766	"+"	116154
"ENSG00000183784"	"C9orf66"	"9"	213108	215893	"-"	157983
"ENSG00000067900"	"ROCK1"	"18"	18526867	18691812	"-"	6093
"ENSG00000128965"	"CHAC1"	"15"	41245160	41248710	"+"	79094
"ENSG00000260313"	"VPS28"	"HG243_PATCH"	145478520	145483451	"-"	51160
"ENSG00000124104"	"SNX21"	"20"	44462449	44471914	"+"	90203
"ENSG00000148204"	"CRB2"	"9"	126118449	126142603	"+"	286204
"ENSG00000101146"	"RAE1"	"20"	55926066	55954267	"+"	8480
"ENSG00000215305"	"VPS16"	"20"	2821349	2847378	"+"	64601
"ENSG00000153666"	"GOLGA8I"	"15"	23255242	23268823	"+"	101059918
"ENSG00000153666"	"GOLGA8I"	"15"	23255242	23268823	"+"	728498
"ENSG00000153666"	"GOLGA8I"	"15"	23255242	23268823	"+"	728047
"ENSG00000153666"	"GOLGA8I"	"15"	23255242	23268823	"+"	653720
"ENSG00000153666"	"GOLGA8I"	"15"	23255242	23268823	"+"	653125
"ENSG00000153666"	"GOLGA8I"	"15"	23255242	23268823	"+"	653073
"ENSG00000153666"	"GOLGA8I"	"15"	23255242	23268823	"+"	643699
"ENSG00000153666"	"GOLGA8I"	"15"	23255242	23268823	"+"	283796
"ENSG00000261772"	"IQSEC3"	"HG858_PATCH"	116765	228460	"+"	100996825
"ENSG00000261772"	"IQSEC3"	"HG858_PATCH"	116765	228460	"+"	440073
"ENSG00000142192"	"APP"	"21"	27252861	27543446	"-"	351
"ENSG00000101473"	"ACOT8"	"20"	44470360	44486045	"-"	10005
"ENSG00000128908"	"INO80"	"15"	41271078	41408552	"-"	54617
"ENSG00000140284"	"SLC27A2"	"15"	50474393	50528592	"+"	11001
"ENSG00000198033"	"TUBA3C"	"13"	19747910	19755992	"-"	113457
"ENSG00000198033"	"TUBA3C"	"13"	19747910	19755992	"-"	7278
"ENSG00000256222"	"MTRNR2L3"	"20"	55933496	55934878	"-"	100462983
"ENSG00000132819"	"RBM38"	"20"	55966463	55984389	"+"	55544
"ENSG00000107099"	"DOCK8"	"9"	214854	465259	"+"	81704
"ENSG00000119522"	"DENND1A"	"9"	126141933	126692431	"-"	57706
"ENSG00000141449"	"GREB1L"	"18"	18822203	19105378	"+"	80000
"ENSG00000166265"	"CYYR1"	"21"	27838528	27945603	"-"	116159
"ENSG00000196074"	"SYCP2"	"20"	58438618	58508710	"-"	10388
"ENSG00000140287"	"HDC"	"15"	50534144	50558223	"-"	3067
"ENSG00000132958"	"TPTE2"	"13"	19997017	20110903	"-"	93492
"ENSG00000140455"	"USP3"	"15"	63796793	63886839	"+"	9960
"ENSG00000184828"	"ZBTB7C"	"18"	45553044	45937123	"-"	201501
"ENSG00000154734"	"ADAMTS1"	"21"	28208066	28217728	"-"	9510
"ENSG00000106689"	"LHX2"	"9"	126763949	126795580	"+"	9355
"ENSG00000154736"	"ADAMTS5"	"21"	28290231	28338832	"-"	11096
"ENSG00000261739"	"GOLGA8S"	"15"	23599895	23612378	"+"	653061
"ENSG00000196199"	"MPHOSPH8"	"13"	20207788	20247599	"+"	54737
"ENSG00000231825"	"PRRC2A"	"HSCHR6_MHC_SSTO"	31578395	31595492	"+"	7916
"ENSG00000178997"	"EXD1"	"15"	41474923	41522941	"-"	161829
"ENSG00000156239"	"N6AMT1"	"21"	30244513	30257693	"-"	29104
"ENSG00000196547"	"MAN2A2"	"15"	91445448	91465814	"+"	4122
"ENSG00000107104"	"KANK1"	"9"	470291	746105	"+"	23189
"ENSG00000121390"	"PSPC1"	"13"	20248896	20357142	"-"	55269
"ENSG00000174450"	"GOLGA6L2"	"15"	23684645	23692381	"-"	283685
"ENSG00000119408"	"NEK6"	"9"	127019885	127115586	"+"	10783
"ENSG00000137090"	"DMRT1"	"9"	841690	969090	"+"	1761
"ENSG00000104064"	"GABPB1"	"15"	50569389	50647605	"-"	2553
"ENSG00000179455"	"MKRN3"	"15"	23810454	23873064	"+"	7681
"ENSG00000134030"	"CTIF"	"18"	46065417	46389588	"+"	9811
"ENSG00000064218"	"DMRT3"	"9"	976964	991731	"+"	58524
"ENSG00000132950"	"ZMYM5"	"13"	20397622	20437776	"-"	9205
"ENSG00000128322"	"IGLL1"	"22"	23915312	23922495	"-"	3543
"ENSG00000198862"	"LTN1"	"21"	30300466	30365270	"-"	26046
"ENSG00000254585"	"MAGEL2"	"15"	23888691	23891175	"-"	54551
"ENSG00000182636"	"NDN"	"15"	23930565	23932450	"-"	4692
"ENSG00000132801"	"ZSWIM3"	"20"	44486256	44507761	"+"	140831
"ENSG00000136930"	"PSMB7"	"9"	127115745	127177723	"-"	5695
"ENSG00000185823"	"NPAP1"	"15"	24920541	24928593	"+"	23742
"ENSG00000173253"	"DMRT2"	"9"	1050354	1057552	"+"	10655
"ENSG00000168612"	"ZSWIM1"	"20"	44509866	44513905	"+"	90204
"ENSG00000124092"	"CTCFL"	"20"	56071035	56100708	"-"	140690
"ENSG00000187446"	"CHP1"	"15"	41523037	41574043	"+"	11261
"ENSG00000261921"	"HYAL2"	"HG325_PATCH"	50355222	50360338	"-"	8692
"ENSG00000260384"	"SERINC2"	"HG989_PATCH"	31882412	31907525	"+"	347735
"ENSG00000149634"	"SPATA25"	"20"	44515128	44516274	"-"	128497
"ENSG00000124257"	"NEURL2"	"20"	44517264	44519926	"-"	140825
"ENSG00000261887"	"C5orf30"	"HG1063_PATCH"	102594406	102614364	"+"	90355
"ENSG00000180264"	"GPR144"	"9"	127213423	127239379	"+"	NA
"ENSG00000104147"	"OIP5"	"15"	41601466	41624819	"-"	11339
"ENSG00000189269"	"C22orf43"	"22"	23950639	23974508	"-"	51233
"ENSG00000156253"	"RWDD2B"	"21"	30376705	30391699	"-"	10069
"ENSG00000262860"	"LSM14A"	"HSCHR19_1_CTG3_1"	34663352	34720227	"+"	26065
"ENSG00000136931"	"NR5A1"	"9"	127243516	127269709	"-"	2516
"ENSG00000101665"	"SMAD7"	"18"	46446223	46477081	"-"	4092
"ENSG00000196227"	"FAM217B"	"20"	58508819	58523735	"+"	63939
"ENSG00000132670"	"PTPRA"	"20"	2844830	3019722	"+"	5786
"ENSG00000262485"	"TUSC2"	"HG325_PATCH"	50357459	50365683	"-"	11334
"ENSG00000132825"	"PPP1R3D"	"20"	58511894	58515352	"-"	5509
"ENSG00000236227"	"BRD2"	"HSCHR6_MHC_MCF"	32969905	32980956	"+"	6046
"ENSG00000128739"	"SNRPN"	"15"	25068794	25223870	"+"	8926
"ENSG00000128739"	"SNRPN"	"15"	25068794	25223870	"+"	6638
"ENSG00000260130"	"MYOM2"	"HG19_PATCH"	1993155	2113475	"+"	9172
"ENSG00000148200"	"NR6A1"	"9"	127279554	127533589	"-"	2649
"ENSG00000124215"	"CDH26"	"20"	58533471	58609066	"+"	60437
"ENSG00000159496"	"RGL4"	"22"	24030323	24041363	"+"	266747
"ENSG00000064601"	"CTSA"	"20"	44518783	44527459	"+"	5476
"ENSG00000185585"	"OLFML2A"	"9"	127539437	127577164	"+"	169611
"ENSG00000156256"	"USP16"	"21"	30396950	30426809	"+"	10600
"ENSG00000141446"	"ESCO1"	"18"	19109242	19180845	"-"	114799
"ENSG00000267483"	"RBFOX3"	"HG748_PATCH"	77085427	77512230	"-"	146713
"ENSG00000121741"	"ZMYM2"	"13"	20532810	20665968	"+"	7750
"ENSG00000137804"	"NUSAP1"	"15"	41624892	41673248	"+"	51203
"ENSG00000197361"	"FBXL22"	"15"	63889552	63894627	"+"	283807
"ENSG00000136918"	"WDR38"	"9"	127615755	127620160	"+"	401551
"ENSG00000261981"	"ENPP7"	"HG748_PATCH"	77727001	77738304	"+"	339221
"ENSG00000080503"	"SMARCA2"	"9"	2015342	2193624	"+"	6595
"ENSG00000136942"	"RPL35"	"9"	127620159	127624260	"-"	11224
"ENSG00000230141"	"HLA-DOA"	"HSCHR6_MHC_MCF"	33005421	33010855	"-"	3111
"ENSG00000263005"	"RASSF1"	"HG325_PATCH"	50367220	50378412	"-"	11186
"ENSG00000262762"	"CBX2"	"HG748_PATCH"	77774214	77784065	"+"	84733
"ENSG00000136950"	"ARPC5L"	"9"	127624409	127640003	"+"	81873
"ENSG00000176659"	"C20orf197"	"20"	58630980	58648008	"+"	284756
"ENSG00000262572"	"CBX8"	"HG748_PATCH"	77788214	77797765	"-"	57332
"ENSG00000187792"	"ZNF70"	"22"	24083769	24093279	"-"	7621
"ENSG00000167088"	"SNRPD1"	"18"	19192228	19210417	"+"	6632
"ENSG00000128218"	"VPREB3"	"22"	24094930	24096655	"-"	29802
"ENSG00000138592"	"USP8"	"15"	50716577	50793280	"+"	9101
"ENSG00000179242"	"CDH4"	"20"	59827482	60515673	"+"	1002
"ENSG00000260355"	"ZNF716"	"HG14_PATCH"	57517884	57541253	"+"	441234
"ENSG00000136935"	"GOLGA1"	"9"	127640646	127710771	"-"	2800
"ENSG00000169314"	"C22orf15"	"22"	24105208	24108048	"+"	150248
"ENSG00000173281"	"PPP1R3B"	"8"	8993765	9009084	"-"	79660
"ENSG00000103657"	"HERC1"	"15"	63900817	64126141	"-"	8925
"ENSG00000158201"	"ABHD3"	"18"	19230858	19284766	"-"	171586
"ENSG00000262635"	"TDO2"	"HSCHR4_1_CTG12"	156775890	156841558	"+"	6999
"ENSG00000168384"	"HLA-DPA1"	"HSCHR6_MHC_MCF"	33065822	33082016	"-"	3113
"ENSG00000250479"	"CHCHD10"	"22"	24108021	24110630	"-"	400916
"ENSG00000124253"	"PCK1"	"20"	56136136	56141513	"+"	5105
"ENSG00000121743"	"GJA3"	"13"	20712394	20735188	"-"	2700
"ENSG00000263238"	"CTSO"	"HSCHR4_1_CTG12"	156845270	156875063	"-"	1519
"ENSG00000141627"	"DYM"	"18"	46570039	46987717	"-"	54808
"ENSG00000165474"	"GJB2"	"13"	20761609	20767037	"-"	2706
"ENSG00000140553"	"UNC45A"	"15"	91473410	91497323	"+"	55898
"ENSG00000102309"	"PIN4"	"X"	71401203	71522776	"+"	5303
"ENSG00000099953"	"MMP11"	"22"	24110413	24126503	"+"	4320
"ENSG00000261923"	"PDE3B"	"HG873_PATCH"	14665269	14892350	"+"	5140
"ENSG00000121742"	"GJB6"	"13"	20796110	20806534	"-"	10804
"ENSG00000173611"	"SCAI"	"9"	127704887	127905785	"-"	286205
"ENSG00000156261"	"CCT8"	"21"	30428126	30446118	"-"	10694
"ENSG00000173273"	"TNKS"	"8"	9413424	9639856	"+"	8658
"ENSG00000130699"	"TAF4"	"20"	60528525	60640866	"-"	6874
"ENSG00000147852"	"VLDLR"	"9"	2621834	2660053	"+"	7436
"ENSG00000186871"	"ERCC6L"	"X"	71424510	71458897	"-"	54821
"ENSG00000266074"	"BAHCC1"	"HG271_PATCH"	79369275	79440126	"+"	NA
"ENSG00000165475"	"CRYL1"	"13"	20977806	21099996	"-"	51084
"ENSG00000035664"	"DAPK2"	"15"	64199235	64364232	"-"	23604
"ENSG00000137806"	"NDUFAF1"	"15"	41679551	41694717	"-"	51103
"ENSG00000230763"	"HLA-DPB1"	"HSCHR6_MHC_MCF"	33077161	33088426	"+"	3115
"ENSG00000099956"	"SMARCB1"	"22"	24129150	24176703	"+"	6598
"ENSG00000198034"	"RPS4X"	"X"	71475529	71497150	"-"	6191
"ENSG00000177576"	"C18orf32"	"18"	47008028	47013622	"-"	497661
"ENSG00000262968"	"CYP2R1"	"HG873_PATCH"	14899553	14913798	"-"	120227
"ENSG00000125787"	"GNRH2"	"20"	3024268	3026393	"+"	2797
"ENSG00000119414"	"PPP6C"	"9"	127908852	127952218	"-"	5537
"ENSG00000137815"	"RTF1"	"15"	41700606	41775761	"+"	23168
"ENSG00000233348"	"BAG6"	"HSCHR6_MHC_SSTO"	31596744	31610423	"-"	7917
"ENSG00000101752"	"MIB1"	"18"	19284918	19450918	"+"	57534
"ENSG00000124256"	"ZBP1"	"20"	56178902	56195632	"-"	81030
"ENSG00000166797"	"FAM96A"	"15"	64364758	64386217	"-"	84191
"ENSG00000099958"	"DERL3"	"22"	24176690	24181315	"-"	91319
"ENSG00000168263"	"KCNV2"	"9"	2717502	2730037	"+"	169522
"ENSG00000215472"	"RPL17-C18orf32"	"18"	47008051	47017956	"-"	100526842
"ENSG00000215472"	"RPL17-C18orf32"	"18"	47008051	47017956	"-"	6139
"ENSG00000125901"	"MRPS26"	"20"	3026591	3028900	"+"	64949
"ENSG00000101405"	"OXT"	"20"	3052266	3053163	"+"	5020
"ENSG00000149657"	"LSM14B"	"20"	60697517	60710434	"+"	149986
"ENSG00000170236"	"USP50"	"15"	50792759	50838905	"-"	373509
"ENSG00000101200"	"AVP"	"20"	3063202	3065370	"-"	551
"ENSG00000136933"	"RABEPK"	"9"	127962821	127996437	"+"	10244
"ENSG00000147535"	"PPAPDC1B"	"8"	38120648	38126761	"-"	84513
"ENSG00000267807"	"ACTG1"	"HG271_PATCH"	79483771	79497647	"-"	71
"ENSG00000267807"	"ACTG1"	"HG271_PATCH"	79483771	79497647	"-"	60
"ENSG00000102100"	"SLC35A2"	"X"	48760459	48769235	"-"	7355
"ENSG00000080608"	"KIAA0020"	"9"	2720469	2844241	"-"	9933
"ENSG00000032742"	"IFT88"	"13"	21140585	21265503	"+"	8100
"ENSG00000044574"	"HSPA5"	"9"	127997132	128003609	"-"	3309
